branch_code,measurement_period,pass_percentage,new_enrollments,revenue,cleanliness_score,measurement_date
B060,year 1,72.75,58,86377.77,79.35,2024-01-01
B061,year 1,67.37,31,67751.8,69.38,2024-01-01
B062,year 1,68.63,56,91559.92,78.32,2024-01-01
B063,year 1,68.99,135,182334.98,53.25,2024-01-01
B064,year 1,81.65,152,269184.4,66.36,2024-01-01
B065,year 1,73.96,61,94526.84,68.86,2024-01-01
B066,year 1,76.17,138,242128.37,48.84,2024-01-01
B068,year 1,68.47,125,263311.47,63.26,2024-01-01
B069,year 1,76.24,45,95423.31,58.01,2024-01-01
B071,year 1,75.43,31,36348.65,68.92,2024-01-01
B074,year 1,81.77,31,37551.92,52.37,2024-01-01
B075,year 1,68.44,13,31293.55,67.04,2024-01-01
B076,year 1,68.77,25,44905.33,49.53,2024-01-01
B078,year 1,69.66,52,102255.22,69.14,2024-01-01
B079,year 1,76.2,66,96078.87,68.61,2024-01-01
B081,year 1,88.23,134,237172.69,63.72,2024-01-01
B082,year 1,81.47,85,149132.33,59.67,2024-01-01
B083,year 1,78.56,74,159499.01,56.14,2024-01-01
B084,year 1,75.47,137,198611.49,73.32,2024-01-01
B085,year 1,77.49,166,203992.43,71.68,2024-01-01
B087,year 1,80.86,154,244465.88,46.73,2024-01-01
B088,year 1,75.38,94,183404.32,54.88,2024-01-01
B089,year 1,77.88,167,250163.6,66.63,2024-01-01
B090,year 1,80.41,107,186993.15,66.46,2024-01-01
B091,year 1,72.84,21,40196.16,61.85,2024-01-01
B092,year 1,83.85,30,60581.72,67.13,2024-01-01
B093,year 1,78.11,35,70413.96,76.16,2024-01-01
B096,year 1,68.75,22,48502.62,59.07,2024-01-01
B097,year 1,82.86,84,139244.66,61.48,2024-01-01
B098,year 1,65.24,59,95931.44,63.58,2024-01-01
B099,year 1,76.16,78,161057.88,64.29,2024-01-01
B101,year 1,71.41,33,59184.95,65.91,2024-01-01
B102,year 1,76.55,87,129184.57,59.46,2024-01-01
B103,year 1,72.85,148,210676.22,81.78,2024-01-01
B104,year 1,73.87,59,85784.81,71.86,2024-01-01
B107,year 1,77.66,25,30655.04,58.83,2024-01-01
B108,year 1,72.38,21,31142.92,59.31,2024-01-01
B111,year 1,68.16,66,92184.54,61.56,2024-01-01
B112,year 1,74.76,133,291054.07,61.06,2024-01-01
B113,year 1,69.63,38,67707.29,69.43,2024-01-01
B114,year 1,70.19,54,94385.09,71.73,2024-01-01
B115,year 1,79.42,84,164295.08,61.43,2024-01-01
B116,year 1,72.72,44,81998.4,60.84,2024-01-01
B117,year 1,71.77,35,69397.9,72.49,2024-01-01
B118,year 1,83.29,20,29788.95,79.94,2024-01-01
B120,year 1,71.84,133,224288.5,61.32,2024-01-01
B121,year 1,74.46,58,110049.81,59.48,2024-01-01
B122,year 1,81.19,56,70602.82,80.72,2024-01-01
B123,year 1,75.89,52,66456.15,41.59,2024-01-01
B124,year 1,76.83,54,80076.04,66.15,2024-01-01
B125,year 1,72.33,59,106988.49,66.49,2024-01-01
B126,year 1,81.46,30,47623.93,62.63,2024-01-01
B127,year 1,76.98,32,36063.47,80.24,2024-01-01
B128,year 1,74.36,81,115063.06,66.48,2024-01-01
B129,year 1,77.62,23,35820.95,74.2,2024-01-01
B130,year 1,75.61,41,108426.45,60.2,2024-01-01
B132,year 1,82.71,34,73715.62,60.6,2024-01-01
B133,year 1,78.0,39,67637.56,62.5,2024-01-01
B134,year 1,64.29,60,111179.67,71.64,2024-01-01
B135,year 1,68.51,121,235487.12,78.36,2024-01-01
B136,year 1,79.28,46,80672.21,46.6,2024-01-01
B137,year 1,72.36,78,164064.38,54.59,2024-01-01
B138,year 1,70.91,86,133468.76,69.07,2024-01-01
B139,year 1,80.22,56,150252.49,73.26,2024-01-01
B141,year 1,77.22,121,229143.22,60.96,2024-01-01
B142,year 1,80.49,143,265748.3,84.22,2024-01-01
B143,year 1,75.28,128,239272.4,61.08,2024-01-01
B144,year 1,74.09,34,75131.21,65.35,2024-01-01
B145,year 1,82.55,47,79745.43,67.91,2024-01-01
B146,year 1,75.09,26,56626.24,64.18,2024-01-01
B148,year 1,68.11,127,178235.23,82.01,2024-01-01
B149,year 1,70.2,68,80259.93,80.62,2024-01-01
B150,year 1,71.55,47,77752.14,72.85,2024-01-01
B151,year 1,76.14,78,86838.62,79.89,2024-01-01
B152,year 1,83.35,105,175474.84,65.99,2024-01-01
B153,year 1,72.43,191,238324.2,66.04,2024-01-01
B154,year 1,81.64,81,173409.01,35.83,2024-01-01
B155,year 1,82.37,20,34030.55,51.4,2024-01-01
B156,year 1,77.95,51,74376.1,70.75,2024-01-01
B157,year 1,72.97,95,142406.13,51.32,2024-01-01
B159,year 1,73.43,48,74925.62,63.0,2024-01-01
B162,year 1,71.6,53,103953.59,74.6,2024-01-01
B164,year 1,72.39,86,156091.6,65.42,2024-01-01
B165,year 1,74.87,31,83800.97,74.82,2024-01-01
B167,year 1,75.93,139,294522.78,71.44,2024-01-01
B168,year 1,80.94,60,64679.78,76.96,2024-01-01
B170,year 1,66.2,87,158339.04,83.77,2024-01-01
B171,year 1,74.54,42,68634.23,69.49,2024-01-01
B172,year 1,74.27,105,189492.86,74.16,2024-01-01
B173,year 1,76.66,65,152997.26,82.16,2024-01-01
B174,year 1,67.15,16,38912.82,66.36,2024-01-01
B175,year 1,77.2,24,44279.31,60.75,2024-01-01
B176,year 1,80.84,53,106615.07,73.13,2024-01-01
B177,year 1,74.7,84,158187.7,66.22,2024-01-01
B178,year 1,75.62,25,63427.34,56.48,2024-01-01
B179,year 1,67.41,100,136673.34,84.07,2024-01-01
B181,year 1,78.1,45,83160.0,64.73,2024-01-01
B182,year 1,64.39,81,204861.05,76.81,2024-01-01
B183,year 1,86.76,70,128813.85,74.9,2024-01-01
B184,year 1,78.86,118,233558.65,56.3,2024-01-01
B185,year 1,72.6,15,22887.23,55.2,2024-01-01
B186,year 1,73.55,45,105612.6,56.1,2024-01-01
B187,year 1,76.78,50,94403.08,56.66,2024-01-01
B188,year 1,76.55,87,113690.43,50.97,2024-01-01
B189,year 1,76.86,160,257922.94,62.72,2024-01-01
B191,year 1,77.38,53,110994.39,50.98,2024-01-01
B192,year 1,80.67,17,29317.74,76.56,2024-01-01
B193,year 1,73.03,35,64664.26,54.91,2024-01-01
B195,year 1,81.92,81,143731.59,70.17,2024-01-01
B196,year 1,75.36,145,232241.02,58.49,2024-01-01
B198,year 1,69.33,103,145881.82,83.08,2024-01-01
B199,year 1,81.11,78,144596.26,68.84,2024-01-01
B202,year 1,84.52,51,90429.28,55.18,2024-01-01
B203,year 1,72.83,71,128118.31,65.68,2024-01-01
B205,year 1,69.07,59,62747.77,71.43,2024-01-01
B206,year 1,77.65,120,165734.06,57.0,2024-01-01
B207,year 1,72.1,101,181416.49,54.29,2024-01-01
B210,year 1,72.85,34,64115.91,59.44,2024-01-01
B211,year 1,82.99,58,78322.43,63.83,2024-01-01
B212,year 1,79.03,90,156312.4,65.57,2024-01-01
B213,year 1,70.99,96,211090.24,72.88,2024-01-01
B215,year 1,68.33,58,76675.53,53.68,2024-01-01
B216,year 1,65.43,144,238087.27,73.8,2024-01-01
B217,year 1,73.22,14,27891.24,66.36,2024-01-01
B218,year 1,76.09,29,40581.01,58.56,2024-01-01
B219,year 1,75.32,48,74791.71,76.16,2024-01-01
B220,year 1,75.21,38,77998.17,73.27,2024-01-01
B221,year 1,80.7,89,184010.29,55.69,2024-01-01
B224,year 1,74.13,45,79625.02,70.99,2024-01-01
B225,year 1,75.69,121,233812.48,55.47,2024-01-01
B227,year 1,71.45,33,67632.57,77.65,2024-01-01
B229,year 1,72.83,38,97703.36,61.17,2024-01-01
B230,year 1,71.93,60,97085.65,66.84,2024-01-01
B232,year 1,73.94,46,108166.71,38.34,2024-01-01
B233,year 1,79.08,44,74798.96,63.97,2024-01-01
B235,year 1,66.53,39,42556.96,60.54,2024-01-01
B236,year 1,58.89,95,116874.99,66.22,2024-01-01
B237,year 1,72.23,75,171495.57,76.4,2024-01-01
B238,year 1,75.77,42,84341.83,54.87,2024-01-01
B241,year 1,72.39,54,122584.35,78.15,2024-01-01
B242,year 1,73.29,48,64839.72,82.14,2024-01-01
B243,year 1,78.43,36,58571.24,74.79,2024-01-01
B244,year 1,74.0,54,87120.56,59.82,2024-01-01
B245,year 1,78.06,64,99093.26,60.11,2024-01-01
B246,year 1,74.67,99,163824.41,55.71,2024-01-01
B247,year 1,82.52,48,69569.97,75.9,2024-01-01
B248,year 1,76.02,26,58414.96,57.76,2024-01-01
B249,year 1,68.45,28,74254.84,78.43,2024-01-01
B250,year 1,77.36,104,152469.96,74.27,2024-01-01
B251,year 1,76.26,88,152128.64,69.4,2024-01-01
B252,year 1,78.4,10,23493.47,47.89,2024-01-01
B253,year 1,84.34,167,200274.76,60.96,2024-01-01
B254,year 1,72.93,136,239300.46,57.97,2024-01-01
B255,year 1,70.31,57,90638.5,68.16,2024-01-01
B256,year 1,79.02,24,35824.12,51.44,2024-01-01
B257,year 1,74.04,77,108975.02,77.34,2024-01-01
B259,year 1,75.61,157,272525.41,90.2,2024-01-01
B260,year 1,77.89,65,80540.07,77.84,2024-01-01
B262,year 1,74.77,127,242563.41,57.11,2024-01-01
B266,year 1,72.75,25,46607.3,51.19,2024-01-01
B267,year 1,78.99,34,62747.4,64.48,2024-01-01
B268,year 1,70.75,163,246211.22,58.37,2024-01-01
B269,year 1,74.49,53,128252.73,60.39,2024-01-01
B270,year 1,73.81,23,46954.34,51.32,2024-01-01
B271,year 1,81.55,109,159978.12,90.14,2024-01-01
B272,year 1,70.22,98,171613.14,84.93,2024-01-01
B274,year 1,79.1,54,97356.72,58.42,2024-01-01
B275,year 1,69.15,42,94645.12,70.42,2024-01-01
B276,year 1,76.76,34,40318.64,65.9,2024-01-01
B279,year 1,70.1,33,57093.29,80.48,2024-01-01
B280,year 1,78.12,135,268022.65,71.71,2024-01-01
B281,year 1,75.3,84,109791.09,82.13,2024-01-01
B282,year 1,78.76,11,28143.61,47.38,2024-01-01
B283,year 1,75.03,29,57237.11,72.69,2024-01-01
B285,year 1,70.22,56,94430.73,81.67,2024-01-01
B286,year 1,80.42,24,32224.37,57.17,2024-01-01
B287,year 1,73.23,66,99993.57,62.4,2024-01-01
B288,year 1,69.57,42,51759.94,74.31,2024-01-01
B290,year 1,67.97,51,91825.37,60.04,2024-01-01
B291,year 1,60.94,25,53834.34,68.33,2024-01-01
B294,year 1,78.51,24,22627.78,62.2,2024-01-01
B295,year 1,77.37,62,97667.17,71.79,2024-01-01
B296,year 1,75.63,61,92096.41,57.22,2024-01-01
B297,year 1,72.71,48,93872.65,67.63,2024-01-01
B298,year 1,78.04,32,65892.87,67.15,2024-01-01
B299,year 1,68.83,67,64483.43,42.21,2024-01-01
B300,year 1,67.73,134,218782.71,60.64,2024-01-01
B301,year 1,71.65,22,56558.42,59.91,2024-01-01
B303,year 1,66.53,47,78553.27,62.77,2024-01-01
B305,year 1,70.9,68,135102.53,74.72,2024-01-01
B307,year 1,72.77,26,45848.15,57.87,2024-01-01
B308,year 1,70.97,118,267163.61,73.83,2024-01-01
B309,year 1,68.91,38,60269.37,78.22,2024-01-01
B310,year 1,76.39,136,293921.06,60.6,2024-01-01
B312,year 1,81.09,22,43570.67,68.76,2024-01-01
B313,year 1,86.91,50,66010.24,65.62,2024-01-01
B314,year 1,76.45,122,199314.39,74.9,2024-01-01
B315,year 1,77.91,23,87455.04,69.19,2024-01-01
B316,year 1,73.81,48,61554.72,74.98,2024-01-01
B317,year 1,81.27,29,49973.0,76.35,2024-01-01
B318,year 1,73.02,43,90615.71,72.64,2024-01-01
B320,year 1,74.7,117,208665.87,80.43,2024-01-01
B321,year 1,70.03,39,73420.72,62.06,2024-01-01
B323,year 1,76.97,32,51996.72,52.12,2024-01-01
B326,year 1,77.88,93,149899.62,62.51,2024-01-01
B327,year 1,74.94,31,54935.54,65.42,2024-01-01
B328,year 1,83.7,55,111727.84,65.9,2024-01-01
B329,year 1,78.07,66,107585.35,70.28,2024-01-01
B330,year 1,73.57,54,86665.46,55.91,2024-01-01
B331,year 1,80.6,34,58511.67,61.77,2024-01-01
B332,year 1,71.43,49,98885.65,64.62,2024-01-01
B333,year 1,77.28,47,82519.23,58.9,2024-01-01
B334,year 1,80.11,89,139350.75,82.92,2024-01-01
B336,year 1,73.32,20,37836.49,53.82,2024-01-01
B339,year 1,65.7,68,122444.64,82.09,2024-01-01
B340,year 1,74.85,56,83734.02,67.73,2024-01-01
B341,year 1,82.49,38,74104.27,69.34,2024-01-01
B343,year 1,77.89,40,80390.48,59.76,2024-01-01
B346,year 1,65.98,55,85402.22,73.44,2024-01-01
B347,year 1,82.8,35,70831.35,66.48,2024-01-01
B348,year 1,65.49,36,109865.22,63.33,2024-01-01
B350,year 1,76.16,89,145305.03,58.74,2024-01-01
B351,year 1,72.57,27,50272.95,65.64,2024-01-01
B352,year 1,69.83,42,65366.7,52.12,2024-01-01
B354,year 1,80.65,31,59715.34,59.82,2024-01-01
B355,year 1,78.16,35,72550.77,61.6,2024-01-01
B356,year 1,77.8,94,176776.14,57.96,2024-01-01
B357,year 1,76.45,58,97399.95,56.12,2024-01-01
B359,year 1,66.96,56,107200.37,70.81,2024-01-01
B360,year 1,64.74,39,62815.02,62.69,2024-01-01
B361,year 1,73.98,36,87295.49,74.1,2024-01-01
B362,year 1,74.65,119,173595.53,62.02,2024-01-01
B365,year 1,70.96,59,83303.02,58.75,2024-01-01
B366,year 1,73.86,30,47096.33,63.07,2024-01-01
B367,year 1,75.6,48,92025.65,68.08,2024-01-01
B368,year 1,69.95,153,244844.38,52.37,2024-01-01
B370,year 1,74.97,95,158498.24,64.7,2024-01-01
B372,year 1,72.7,97,149999.59,74.73,2024-01-01
B374,year 1,77.22,42,54689.82,74.15,2024-01-01
B375,year 1,80.18,25,41159.33,67.19,2024-01-01
B377,year 1,77.62,55,81831.11,46.66,2024-01-01
B378,year 1,79.99,56,70649.79,56.22,2024-01-01
B379,year 1,72.99,47,77243.24,71.58,2024-01-01
B380,year 1,81.98,29,69281.23,47.52,2024-01-01
B381,year 1,67.46,50,62870.82,62.02,2024-01-01
B382,year 1,76.73,62,103321.39,61.15,2024-01-01
B383,year 1,76.13,88,141849.02,65.0,2024-01-01
B384,year 1,73.03,112,201162.12,63.23,2024-01-01
B386,year 1,84.09,54,118270.55,63.11,2024-01-01
B387,year 1,81.81,69,91334.8,47.37,2024-01-01
B388,year 1,70.28,99,226887.39,90.27,2024-01-01
B389,year 1,75.95,47,91926.87,56.39,2024-01-01
B390,year 1,73.09,36,64142.44,75.38,2024-01-01
B391,year 1,69.68,40,72727.23,41.08,2024-01-01
B393,year 1,73.14,40,53818.0,70.85,2024-01-01
B394,year 1,71.24,53,93388.22,66.67,2024-01-01
B396,year 1,77.49,48,86941.25,62.82,2024-01-01
B397,year 1,73.66,55,98116.58,69.8,2024-01-01
B398,year 1,75.95,28,37923.81,77.33,2024-01-01
B399,year 1,69.34,24,31111.72,43.97,2024-01-01
B400,year 1,86.77,30,49297.15,66.0,2024-01-01
